
701,빨간 거베라,0,0,12,13,3,4,80
703,주황 거베라,0,1,10,12,3,4,80
705,노란 거베라,0,2,5,-1,3,4,80
707,분홍 거베라,0,6,1,-1,3,4,80
709,하얀 거베라,0,8,2,11,3,4,80
711,빨간 국화,1,0,8,-1,2,7,60
713,노란 국화,1,2,8,18,2,7,60
715,초록 국화,1,3,18,-1,2,7,60
717,보라 국화,1,5,16,-1,2,7,60
719,분홍 국화,1,6,8,-1,2,7,60
721,하얀 국화,1,8,10,17,2,7,60
723,파란 델피늄,2,4,12,19,4,5,150
725,보라 델피늄,2,5,2,-1,4,5,150
727,분홍 델피늄,2,6,8,-1,4,5,150
729,하얀 델피늄,2,8,2,19,4,5,150
731,빨간 라넌큘러스,3,0,5,-1,2,6,55
733,주황 라넌큘러스,3,1,12,-1,2,6,55
735,노란 라넌큘러스,3,2,5,-1,2,6,55
737,초록 라넌큘러스,3,3,12,-1,2,6,55
739,보라 라넌큘러스,3,5,8,19,2,6,55
741,분홍 라넌큘러스,3,6,8,-1,2,6,55
743,하얀 라넌큘러스,3,8,2,9,2,6,55
745,노란 리시안셔스,4,2,0,19,4,9,110
747,초록 리시안셔스,4,3,8,-1,4,9,110
749,보라 리시안셔스,4,5,5,8,4,9,110
751,분홍 리시안셔스,4,6,8,16,4,9,110
753,하얀 리시안셔스,4,8,8,14,4,9,110
755,빨간 백합,5,0,8,13,2,6,55
757,주황 백합,5,1,13,-1,2,6,55
759,노란 백합,5,2,0,19,2,6,55
761,분홍 백합,5,6,18,-1,2,6,55
763,검은 백합,5,7,6,-1,2,6,55
765,하얀 백합,5,8,2,8,2,6,55
767,빨간 수국,6,0,21,-1,4,3,170
769,초록 수국,6,3,16,-1,4,3,170
771,파란 수국,6,4,4,-1,4,3,170
773,보라 수국,6,5,0,16,4,3,170
775,분홍 수국,6,6,21,-1,4,3,170
777,하얀 수국,6,8,0,-1,4,3,170
779,빨간 아네모네,7,0,8,-1,2,6,55
781,주황 아네모네,7,1,10,-1,2,6,55
783,파란 아네모네,7,4,10,-1,2,6,55
785,보라 아네모네,7,5,16,-1,2,6,55
787,분홍 아네모네,7,6,8,-1,2,6,55
789,하얀 아네모네,7,8,10,21,2,6,55
791,빨간 작약,8,0,10,13,5,4,250
793,노란 작약,8,2,9,18,5,4,250
795,분홍 작약,8,6,18,-1,5,4,250
797,하얀 작약,8,8,9,19,5,4,250
799,빨간 장미,9,0,8,13,3,5,90
801,주황 장미,9,1,12,13,3,5,90
803,노란 장미,9,2,14,-1,3,5,90
805,초록 장미,9,3,8,-1,3,5,90
807,파란 장미,9,4,20,-1,3,5,90
809,보라 장미,9,5,8,-1,3,5,90
811,분홍 장미,9,6,1,10,3,5,90
813,검은 장미,9,7,0,15,3,5,90
815,하얀 장미,9,8,2,11,3,5,90
817,무지개 장미,9,9,19,-1,3,5,90
819,빨간 카네이션,10,0,8,-1,1,7,50
821,주황 카네이션,10,1,3,11,1,7,50
823,노란 카네이션,10,2,4,-1,1,7,50
825,초록 카네이션,10,3,17,-1,1,7,50
827,보라 카네이션,10,5,18,-1,1,7,50
829,분홍 카네이션,10,6,0,4,1,7,50
831,하얀 카네이션,10,8,8,13,1,7,50
833,빨간 코스모스,11,0,8,-1,0,8,25
835,주황 코스모스,11,1,5,-1,0,8,25
837,노란 코스모스,11,2,3,-1,0,8,25
839,분홍 코스모스,11,6,16,-1,0,8,25
841,검은 코스모스,11,7,17,-1,0,8,25
843,하얀 코스모스,11,8,2,-1,0,8,25
845,빨간 튤립,12,0,3,8,1,8,45
847,주황 튤립,12,1,12,-1,1,8,45
849,노란 튤립,12,2,8,-1,1,8,45
851,보라 튤립,12,5,8,-1,1,8,45
853,분홍 튤립,12,6,1,3,1,8,45
855,검은 튤립,12,7,5,-1,1,8,45
857,하얀 튤립,12,8,7,15,1,8,45
859,빨간 프리지아,13,0,8,13,1,8,45
861,노란 프리지아,13,2,21,-1,1,8,45
863,보라 프리지아,13,5,5,8,1,8,45
865,분홍 프리지아,13,6,3,8,1,8,45
867,하얀 프리지아,13,8,2,-1,1,8,45
869,빨간 히아신스,14,0,8,-1,2,5,55
871,주황 히아신스,14,1,7,19,2,5,55
873,노란 히아신스,14,2,21,-1,2,5,55
875,파란 히아신스,14,4,8,-1,2,5,55
877,보라 히아신스,14,5,7,8,2,5,55
879,분홍 히아신스,14,6,3,8,2,5,55
881,하얀 히아신스,14,8,8,19,2,5,55
883,노란 연꽃,15,2,8,15,3,4,115
885,파란 연꽃,15,4,10,12,3,4,115
887,보라 연꽃,15,5,8,16,3,4,115
889,분홍 연꽃,15,6,3,8,3,4,115
891,하얀 연꽃,15,8,11,12,3,4,115
893,빨간 해바라기,16,0,8,13,0,7,30
895,주황 해바라기,16,1,9,21,0,7,30
897,노란 해바라기,16,2,8,10,0,7,30
899,검은 해바라기,16,7,2,12,0,7,30
901,하얀 해바라기,16,8,2,11,0,7,30
