,,1,401001,빨간 거베라 씨앗,80,2월 8일
,,2,401002,주황 거베라 씨앗,80,2월 8일
,,3,401003,노란 거베라 씨앗,80,2월 8일
,,4,401004,분홍 거베라 씨앗,80,2월 8일
,,5,401005,하얀 거베라 씨앗,80,2월 8일
,,6,401006,빨간 국화 씨앗,60,2월 8일
,,7,401007,노란 국화 씨앗,60,2월 8일
,,8,401008,초록 국화 씨앗,60,2월 8일
,,9,401009,보라 국화 씨앗,60,2월 8일
,,10,401010,분홍 국화 씨앗,60,2월 8일
,,11,401011,하얀 국화 씨앗,60,2월 8일
,,12,401012,파란 델피늄 씨앗,150,2월 8일
,,13,401013,보라 델피늄 씨앗,150,2월 8일
,,14,401014,분홍 델피늄 씨앗,150,2월 8일
,,15,401015,하얀 델피늄 씨앗,150,2월 8일
,,16,401016,빨간 라넌큘러스 씨앗,55,2월 8일
,,17,401017,주황 라넌큘러스 씨앗,55,2월 8일
,,18,401018,노란 라넌큘러스 씨앗,55,2월 8일
,,19,401019,초록 라넌큘러스 씨앗,55,2월 8일
,,20,401020,보라 라넌큘러스 씨앗,55,2월 8일
,,21,401021,분홍 라넌큘러스 씨앗,55,2월 8일
,,22,401022,하얀 라넌큘러스 씨앗,55,2월 8일
,,23,401023,노란 리시안셔스 씨앗,110,2월 8일
,,24,401024,초록 리시안셔스 씨앗,110,2월 8일
,,25,401025,보라 리시안셔스 씨앗,110,2월 8일
,,26,401026,분홍 리시안셔스 씨앗,110,2월 8일
,,27,401027,하얀 리시안셔스 씨앗,110,2월 8일
,,28,401028,빨간 백합 씨앗,55,2월 8일
,,29,401029,주황 백합 씨앗,55,2월 8일
,,30,401030,노란 백합 씨앗,55,2월 8일
,,31,401031,분홍 백합 씨앗,55,2월 8일
,,32,401032,검은 백합 씨앗,55,2월 8일
,,33,401033,하얀 백합 씨앗,55,2월 8일
,,34,401034,빨간 수국 씨앗,170,2월 8일
,,35,401035,초록 수국 씨앗,170,2월 8일
,,36,401036,파란 수국 씨앗,170,2월 8일
,,37,401037,보라 수국 씨앗,170,2월 8일
,,38,401038,분홍 수국 씨앗,170,2월 8일
,,39,401039,하얀 수국 씨앗,170,2월 8일
,,40,401040,빨간 아네모네 씨앗,55,2월 8일
,,41,401041,주황 아네모네 씨앗,55,2월 8일
,,42,401042,파란 아네모네 씨앗,55,2월 8일
,,43,401043,보라 아네모네 씨앗,55,2월 8일
,,44,401044,분홍 아네모네 씨앗,55,2월 8일
,,45,401045,하얀 아네모네 씨앗,55,2월 8일
,,46,401046,빨간 작약 씨앗,250,2월 8일
,,47,401047,노란 작약 씨앗,250,2월 8일
,,48,401048,분홍 작약 씨앗,250,2월 8일
,,49,401049,하얀 작약 씨앗,250,2월 8일
,,50,401050,빨간 장미 씨앗,90,2월 8일
,,51,401051,주황 장미 씨앗,90,2월 8일
,,52,401052,노란 장미 씨앗,90,2월 8일
,,53,401053,초록 장미 씨앗,90,2월 8일
,,54,401054,파란 장미 씨앗,90,2월 8일
,,55,401055,보라 장미 씨앗,90,2월 8일
,,56,401056,분홍 장미 씨앗,90,2월 8일
,,57,401057,검은 장미 씨앗,90,2월 8일
,,58,401058,하얀 장미 씨앗,90,2월 8일
,,59,401059,무지개 장미 씨앗,90,2월 8일
,,60,401060,빨간 카네이션 씨앗,50,2월 8일
,,61,401061,주황 카네이션 씨앗,50,2월 8일
,,62,401062,노란 카네이션 씨앗,50,2월 8일
,,63,401063,초록 카네이션 씨앗,50,2월 8일
,,64,401064,보라 카네이션 씨앗,50,2월 8일
,,65,401065,분홍 카네이션 씨앗,50,2월 8일
,,66,401066,하얀 카네이션 씨앗,50,2월 8일
,,67,401067,빨간 코스모스 씨앗,25,2월 8일
,,68,401068,주황 코스모스 씨앗,25,2월 8일
,,69,401069,노란 코스모스 씨앗,25,2월 8일
,,70,401070,분홍 코스모스 씨앗,25,2월 8일
,,71,401071,검은 코스모스 씨앗,25,2월 8일
,,72,401072,하얀 코스모스 씨앗,25,2월 8일
,,73,401073,빨간 튤립 씨앗,45,2월 8일
,,74,401074,주황 튤립 씨앗,45,2월 8일
,,75,401075,노란 튤립 씨앗,45,2월 8일
,,76,401076,보라 튤립 씨앗,45,2월 8일
,,77,401077,분홍 튤립 씨앗,45,2월 8일
,,78,401078,검은 튤립 씨앗,45,2월 8일
,,79,401079,하얀 튤립 씨앗,45,2월 8일
,,80,401080,빨간 프리지아 씨앗,45,2월 8일
,,81,401081,노란 프리지아 씨앗,45,2월 8일
,,82,401082,보라 프리지아 씨앗,45,2월 8일
,,83,401083,분홍 프리지아 씨앗,45,2월 8일
,,84,401084,하얀 프리지아 씨앗,45,2월 8일
,,85,401085,빨간 히아신스 씨앗,55,2월 8일
,,86,401086,주황 히아신스 씨앗,55,2월 8일
,,87,401087,노란 히아신스 씨앗,55,2월 8일
,,88,401088,파란 히아신스 씨앗,55,2월 8일
,,89,401089,보라 히아신스 씨앗,55,2월 8일
,,90,401090,분홍 히아신스 씨앗,55,2월 8일
,,91,401091,하얀 히아신스 씨앗,55,2월 8일
,,92,401092,노란 연꽃 씨앗,115,2월 8일
,,93,401093,파란 연꽃 씨앗,115,2월 8일
,,94,401094,보라 연꽃 씨앗,115,2월 8일
,,95,401095,분홍 연꽃 씨앗,115,2월 8일
,,96,401096,하얀 연꽃 씨앗,115,2월 8일
,,97,401097,빨간 해바라기 씨앗,30,2월 8일
,,98,401098,주황 해바라기 씨앗,30,2월 8일
,,99,401099,노란 해바라기 씨앗,30,2월 8일
,,100,401100,검은 해바라기 씨앗,30,2월 8일
,,101,401101,하얀 해바라기 씨앗,30,2월 8일
